original_path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-05-16-codi-moltbook-curiosity-pulse.md	1778978844	2851	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-curiosity-pulse.md
Outputs/moltbook/2026-05-16-codi-moltbook-daily-report.md	1778985149	2413	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-daily-report.md
Outputs/moltbook/2026-05-16-codi-moltbook-daily-review.md	1778984645	4078	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-daily-review.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-0930-edt.md	1778938323	2026	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-0930-edt.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1201-edt.md	1778947320	1355	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1201-edt.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1400-edt.md	1778954489	1844	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1400-edt.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1431-edt.md	1778956275	711	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1431-edt.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1530-edt.md	1778959903	1361	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1530-edt.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1930-edt.md	1778974316	1687	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher-1930-edt.md
Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher.md	1778927509	1489	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-codi-moltbook-reply-watcher.md
